附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
交流接触器(巡查项目) ||| 内容 ||| 触点完好(内容)
继电器(巡查项目) ||| 内容 ||| 触点完好(内容)
配电站房内部(巡查项目) ||| 内容 ||| 完好(内容)
配电站房内部(巡查项目) ||| 内容 ||| 排风设施正常(内容)
配电站房周边(巡查项目) ||| 内容 ||| 无有腐蚀性气体(内容)
配电站房周边(巡查项目) ||| 内容 ||| 无积水(内容)
温度指示(巡查项目) ||| 内容 ||| 温度指示值正常(内容)
变压器风机(巡查项目) ||| 内容 ||| 保持清洁(内容)
控制回路(巡查项目) ||| 内容 ||| 压接良好(内容)
栏杆(巡查项目) ||| 巡查内容 ||| 牢固可靠(内容)
爬梯(巡查项目) ||| 巡查内容 ||| 牢固可靠(内容)
金属构件(巡查项目) ||| 巡查内容 ||| 牢固可靠(内容)
控制回路(巡查项目) ||| 内容 ||| 牢固可靠(内容)
按钮转换开关(巡查项目) ||| 内容 ||| 外表清洁(内容)
指示灯(巡查项目) ||| 内容 ||| 外表清洁(内容)
按钮转换开关(巡查项目) ||| 内容 ||| 牢固可靠(内容)
指示灯(巡查项目) ||| 内容 ||| 牢固可靠(内容)
电容器(巡查项目) ||| 内容 ||| 电容补偿三相平(内容)
电容器(巡查项目) ||| 内容 ||| 接头不发热变色(内容)
母线排(巡查项目) ||| 内容 ||| 色标清晰(内容)
柜体(巡查项目) ||| 内容 ||| 保持清洁(内容)
沟道盖板(巡查项目) ||| 内容 ||| 齐全无损坏(内容)
巡检机器人(巡查项目) ||| 巡查内容 ||| 满足运行要求(内容)
在线局放监测(巡查项目) ||| 巡查内容 ||| 满足运行要求(内容)
在线环流监测设备(巡查项目) ||| 巡查内容 ||| 满足运行要求(内容)
电缆光纤测温设备(巡查项目) ||| 巡查内容 ||| 满足运行要求(内容)
控制功能(巡查项目) ||| 内容 ||| 满足运行要求(内容)
满足运行要求(内容) ||| 巡检方法 ||| 利用监控系统进行控制功能及联动功能测试(巡检方法)
闸刀开关(巡查项目) ||| 内容 ||| 无过热现象(内容)
断路器(巡查项目) ||| 内容 ||| 无过热现象(内容)
交流接触器(巡查项目) ||| 内容 ||| 无过热现象(内容)
继电器(巡查项目) ||| 内容 ||| 无过热现象(内容)
按钮转换开关(巡查项目) ||| 内容 ||| 标号清晰(内容)
指示灯(巡查项目) ||| 内容 ||| 标号清晰(内容)
按钮转换开关(巡查项目) ||| 内容 ||| 转动灵活(内容)
指示灯(巡查项目) ||| 内容 ||| 转动灵活(内容)
电容器(巡查项目) ||| 内容 ||| 电容接触器良好(内容)
电容器(巡查项目) ||| 内容 ||| 电容器无发热膨胀(内容)
母线排(巡查项目) ||| 内容 ||| 压接良好(内容)
母线排(巡查项目) ||| 内容 ||| 绝缘良好(内容)
柜体(巡查项目) ||| 内容 ||| 外壳接地完好(内容)
电缆桥架(巡查项目) ||| 内容 ||| 无锈蚀(内容)
灯具及防护罩(巡查项目) ||| 内容 ||| 灯具正常照明(内容)
后备电池(巡查项目) ||| 内容 ||| 满足运行要求(内容)
管线(巡查项目) ||| 巡查内容 ||| 停止运行(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 供配电系统(巡查项目)
综合管廊(巡查项目) ||| 巡查方法 ||| 监测(巡查方法)
故障信号(内容) ||| 巡查方法 ||| 监测(巡查方法)
运行维护(内容) ||| 巡查方法 ||| 监测(巡查方法)
管廊本体(巡查项目) ||| 巡查方法 ||| 监测(巡查方法)
报警水位(内容) ||| 巡查方法 ||| 监测(巡查方法)
启停水位(内容) ||| 巡查方法 ||| 监测(巡查方法)
管道(巡查项目) ||| 巡查方法 ||| 监测(巡查方法)
负荷情况(内容) ||| 巡查方法 ||| 监测(巡查方法)
应力集中处的管道(巡查项目) ||| 巡查方法 ||| 监测(巡查方法)
设备(巡查项目) ||| 巡查方法 ||| 监测(巡查方法)
支架(巡查项目) ||| 巡查方法 ||| 监测(巡查方法)
故障报警信号(内容) ||| 巡查方法 ||| 监测(巡查方法)
运行状态(内容) ||| 巡查方法 ||| 监测(巡查方法)
漏电(内容) ||| 巡查方法 ||| 监测(巡查方法)
过载(内容) ||| 巡查方法 ||| 监测(巡查方法)
气、水、虫、鼠等进入(内容) ||| 维护方法 ||| 封堵(维护方法)
渗漏(内容) ||| 维护方法 ||| 封堵(维护方法)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 通风口(巡查项目)
构筑物(巡查项目) ||| 巡查子项目 ||| 通风口(巡查项目)
管廊构筑物(巡查项目) ||| 巡查子项目 ||| 通风口(巡查项目)
附属建（构）筑物(巡查项目) ||| 巡查子项目 ||| 通风口(巡查项目)
通风系统(系统) ||| 巡查项目 ||| 通风口(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 通风口(巡查项目)
事故排烟风机(巡查项目) ||| 巡查内容 ||| 检测(内容)
排烟防火阀(巡查项目) ||| 巡查内容 ||| 检测(内容)
各类消防设施(巡查项目) ||| 巡查内容 ||| 检测(内容)
安全保护措施(内容) ||| 包含 ||| 检测(内容)
舱室(巡查项目) ||| 巡查内容 ||| 通风(内容)
安全保护措施(内容) ||| 包含 ||| 通风(内容)
观看人员(巡查项目) ||| 巡查内容 ||| 不应少于5名(内容)
闸刀开关(巡查项目) ||| 内容 ||| 无噪音(内容)
断路器(巡查项目) ||| 内容 ||| 无噪音(内容)
交流接触器(巡查项目) ||| 内容 ||| 无噪音(内容)
继电器(巡查项目) ||| 内容 ||| 无噪音(内容)
控制回路(巡查项目) ||| 内容 ||| 标号清晰(内容)
控制回路(巡查项目) ||| 内容 ||| 转动灵活(内容)
灯具及防护罩(巡查项目) ||| 内容 ||| 防护罩无破损(内容)
无异常气味及声音(内容) ||| 巡检方法 ||| 嗅听判断(巡检方法)
满足运行要求(内容) ||| 巡检方法 ||| 切断正常电源，进行切换功能测试(巡检方法)
外部环境(内容) ||| 需要 ||| 温度(内容)
电缆连接处(巡查项目) ||| 巡查内容 ||| 温度(内容)
防火封堵(巡查项目) ||| 巡查内容 ||| 温度(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 温度(内容)
廊内环境参数(内容) ||| 包含 ||| 温度(内容)
有毒有害和易燃易爆气体(内容) ||| 包含 ||| CO(内容)
用途改变(内容) ||| 巡查方法 ||| 检测(巡查方法)
结构改造(内容) ||| 巡查方法 ||| 检测(巡查方法)
其他有害气体(内容) ||| 巡查方法 ||| 检测(巡查方法)
氧气浓度(内容) ||| 巡查方法 ||| 检测(巡查方法)
天然气泄露(内容) ||| 巡查方法 ||| 检测(巡查方法)
天然气(内容) ||| 巡查方法 ||| 检测(巡查方法)
氧气(内容) ||| 巡查方法 ||| 检测(巡查方法)
一氧化碳(内容) ||| 巡查方法 ||| 检测(巡查方法)
硫化氢(内容) ||| 巡查方法 ||| 检测(巡查方法)
附属设施(巡查项目) ||| 巡查方法 ||| 检测(巡查方法)
每2h进入的渗漏水容积数(内容) ||| 巡查方法 ||| 检测(巡查方法)
防雷及接地装置(巡查项目) ||| 巡查方法 ||| 检测(巡查方法)
清掏作业(内容) ||| 巡查方法 ||| 检测(巡查方法)
运行维护(内容) ||| 巡查方法 ||| 检测(巡查方法)
排烟风机(巡查项目) ||| 巡查方法 ||| 检测(巡查方法)
排烟防火阀(巡查项目) ||| 巡查方法 ||| 检测(巡查方法)
管廊本体(巡查项目) ||| 巡查方法 ||| 检测(巡查方法)
消防系统(系统) ||| 巡查方法 ||| 检测(巡查方法)
廊内环境参数(内容) ||| 巡查方法 ||| 检测(巡查方法)
主体结构(巡查项目) ||| 巡查内容 ||| 病害(内容)
构筑物结构(巡查项目) ||| 巡查内容 ||| 病害(内容)
管段结构(巡查项目) ||| 巡查内容 ||| 病害(内容)
病害(内容) ||| 维护方法 ||| 修复处理(维护方法)
综合管廊(巡查项目) ||| 巡查子项目 ||| 天然气管道(巡查项目)
天然气管道(巡查项目) ||| 巡查方法 ||| 按巡检计划(巡查方法)
入廊管线(巡查项目) ||| 巡查子项目 ||| 管线(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 管线(巡查项目)
附件(巡查项目) ||| 巡查内容 ||| 严禁带气动火作业(内容)
天然气管道(巡查项目) ||| 巡查内容 ||| 严禁带气动火作业(内容)
设施(巡查项目) ||| 巡查内容 ||| 周边路面施工(内容)
井口设施(巡查项目) ||| 巡查内容 ||| 周边路面施工(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 周边路面施工(内容)
井口设施(巡查项目) ||| 巡查内容 ||| 设施保护区范围(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 设施保护区范围(内容)
设施缺陷(巡查项目) ||| 巡查方法 ||| 做好检查记录(巡查方法)
管线(巡查项目) ||| 巡查内容 ||| 封存(内容)
综合管廊本体(巡查项目) ||| 巡查内容 ||| 安全防护措施(内容)
附属设施(巡查项目) ||| 巡查内容 ||| 安全防护措施(内容)
其他相关入廊管线(巡查项目) ||| 巡查内容 ||| 安全防护措施(内容)
施工作业区域(巡查项目) ||| 巡查内容 ||| 安全防护措施(内容)
报废(内容) ||| 需要 ||| 安全防护措施(内容)
封存(内容) ||| 需要 ||| 安全防护措施(内容)
停止运行(内容) ||| 需要 ||| 安全防护措施(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 漏电(内容)
供配电系统(巡查项目) ||| 巡查内容 ||| 漏电(内容)
供电系统(巡查项目) ||| 巡查内容 ||| 过载(内容)
供配电系统(巡查项目) ||| 巡查内容 ||| 过载(内容)
管段(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
电缆出线部位(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
连接井(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
连接处(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
综合管廊(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
排水舱(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
绝缘油(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
管道(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
本体结构(巡查项目) ||| 巡查内容 ||| 渗漏(内容)
通风口(巡查项目) ||| 巡查内容 ||| 统一的编号标识(内容)
吊装口(巡查项目) ||| 巡查内容 ||| 统一的编号标识(内容)
逃生口(巡查项目) ||| 巡查内容 ||| 统一的编号标识(内容)
出入口(巡查项目) ||| 巡查内容 ||| 统一的编号标识(内容)
井下维护(维护方法) ||| 维护内容 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6(内容)
清掏作业(内容) ||| 需要 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6(内容)
井下维护作业(内容) ||| 需要 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6(内容)
清掏作业(巡查项目) ||| 巡查内容 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6(内容)
室内疏通作业(巡查项目) ||| 巡查内容 ||| 符合现行行业标准《城镇排水管道维护安全技术规程》CJJ 6(内容)
清掏作业(巡查项目) ||| 巡查内容 ||| 安全保护措施(内容)
安全保护措施(内容) ||| 包含 ||| 防爆(内容)
专业人员和非专业人员比例(巡查项目) ||| 巡查内容 ||| 由验收小组确定(内容)
结构部件(巡查项目) ||| 巡查周期 ||| 日常(巡查周期)
外观状况(内容) ||| 巡查周期 ||| 日常(巡查周期)
位置(内容) ||| 需要 ||| 固定正常(内容)
电缆(巡查项目) ||| 巡查内容 ||| 固定正常(内容)
接头(巡查项目) ||| 巡查子项目 ||| 防火涂料(巡查项目)
电缆(巡查项目) ||| 巡查子项目 ||| 防火涂料(巡查项目)
接头(巡查项目) ||| 巡查子项目 ||| 防火带(巡查项目)
电缆(巡查项目) ||| 巡查子项目 ||| 防火带(巡查项目)
电机外壳(巡查项目) ||| 巡查内容 ||| 接地必须可靠(内容)
风机外壳(巡查项目) ||| 巡查内容 ||| 接地必须可靠(内容)
综合管廊(巡查项目) ||| 巡查子项目 ||| 钢筋混凝土构筑物(巡查项目)
钢筋混凝土构筑物(巡查项目) ||| 巡查内容 ||| 外观状况(内容)
电机外壳(巡查项目) ||| 巡查内容 ||| 禁止反方向旋转(内容)
风机外壳(巡查项目) ||| 巡查内容 ||| 禁止反方向旋转(内容)
线缆(巡查项目) ||| 巡查内容 ||| 无损毁迹象(内容)
附属设施(巡查项目) ||| 巡查子项目 ||| 照明(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 照明(巡查项目)
支吊架(巡查项目) ||| 巡查内容 ||| 连接可靠(内容)
栏杆(巡查项目) ||| 巡查内容 ||| 连接可靠(内容)
爬梯(巡查项目) ||| 巡查内容 ||| 连接可靠(内容)
楼梯(巡查项目) ||| 巡查内容 ||| 连接可靠(内容)
盖板(巡查项目) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
集水坑(巡查项目) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
排水沟渠(巡查项目) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
功能正常(内容) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
连接可靠(内容) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
结构完好(内容) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
外观完整(内容) ||| 巡查周期 ||| 每季度检查不少于1次(巡查周期)
电机(巡查项目) ||| 巡查内容 ||| 可靠接地(内容)
机壳(巡查项目) ||| 巡查内容 ||| 可靠接地(内容)
照明灯具(巡查项目) ||| 巡查内容 ||| 可靠接地(内容)
配电箱(巡查项目) ||| 巡查内容 ||| 可靠接地(内容)
应急配电箱(巡查项目) ||| 巡查内容 ||| 故障报警信号(内容)
应急电源（EPS）(巡查项目) ||| 巡查内容 ||| 故障报警信号(内容)
不间断电源（UPS）(巡查项目) ||| 巡查内容 ||| 故障报警信号(内容)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 人员出入口(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 人员出入口(巡查项目)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 管线分支口(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 管线分支口(巡查项目)
垃圾输送管道(巡查项目) ||| 巡查子项目 ||| 支吊架(巡查项目)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 支吊架(巡查项目)
管道附属设施(巡查项目) ||| 巡查子项目 ||| 支吊架(巡查项目)
入廊管线(巡查项目) ||| 巡查子项目 ||| 支吊架(巡查项目)
管道(巡查项目) ||| 巡查子项目 ||| 支吊架(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 支吊架(巡查项目)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 防排水设施(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 防排水设施(巡查项目)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 检修通道(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 检修通道(巡查项目)
电机外壳(巡查项目) ||| 巡查内容 ||| 禁止超额定电流运行(内容)
风机外壳(巡查项目) ||| 巡查内容 ||| 禁止超额定电流运行(内容)
电机外壳(巡查项目) ||| 巡查内容 ||| 禁止缺相运行(内容)
风机外壳(巡查项目) ||| 巡查内容 ||| 禁止缺相运行(内容)
常用照明设备(巡查项目) ||| 巡查内容 ||| 亮灯率(内容)
照明(巡查项目) ||| 巡查内容 ||| 亮灯率(内容)
亮灯率(内容) ||| 需要 ||| 不应小于95%(内容)
照明(巡查项目) ||| 巡查内容 ||| 控制功能应完好(内容)
逃生口(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
人员出入口(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
集水坑(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
排水沟渠(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
吊装口(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
通风口(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
装饰层(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
管段(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
结构装饰(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
栏杆(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
爬梯(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
楼梯(巡查项目) ||| 巡查内容 ||| 结构完好(内容)
供电系统(巡查项目) ||| 巡查子项目 ||| 配电箱(巡查项目)
手动控制功能(内容) ||| 需要 ||| 有效(内容)
防水措施(巡查项目) ||| 巡查内容 ||| 有效(内容)
格栅(巡查项目) ||| 巡查内容 ||| 有效(内容)
盖板(巡查项目) ||| 巡查内容 ||| 有效(内容)
防火分隔(巡查项目) ||| 巡查内容 ||| 有效(内容)
应急电源(EPS)(巡查项目) ||| 巡查内容 ||| 运行状态(内容)
不间断电源(UPS)(巡查项目) ||| 巡查内容 ||| 运行状态(内容)
管廊本体(巡查项目) ||| 巡查内容 ||| 运行状态(内容)
疏水器(巡查项目) ||| 巡查内容 ||| 运行状态(内容)
补偿器(巡查项目) ||| 巡查内容 ||| 运行状态(内容)
